Song,Trait,value
Adaptation,Acousticness,0.151
Blinding Lights,Acousticness,0.00147
Call Out My Name,Acousticness,0.211
Can't Feel My Face,Acousticness,0.112
Can't Feel My Face - Martin Garrix Remix,Acousticness,0.00791
Dark Times,Acousticness,0.114
Die For You,Acousticness,0.111
Echoes Of Silence,Acousticness,0.951
Gone,Acousticness,0.708
Heartless,Acousticness,0.00632
Hurt You,Acousticness,0.3
I Feel It Coming,Acousticness,0.426
I Was Never There,Acousticness,0.135
Losers,Acousticness,0.0355
Often,Acousticness,0.218
Often - Kygo Remix,Acousticness,0.123
Pray For Me (with Kendrick Lamar),Acousticness,0.0762
Prisoner,Acousticness,0.441
Privilege,Acousticness,0.913
Same Old Song,Acousticness,0.415
Secrets,Acousticness,0.0155
Sidewalks,Acousticness,0.147
Six Feet Under,Acousticness,0.129
Starboy,Acousticness,0.141
Starboy - Kygo Remix,Acousticness,0.209
Tears In The Rain,Acousticness,0.109
Tell Your Friends,Acousticness,0.265
The Hills,Acousticness,0.0671
The Hills - RL Grime Remix,Acousticness,0.113
The Morning,Acousticness,0.317
The Party & The After Party,Acousticness,0.476
The Zone,Acousticness,0.26
Till Dawn (Here Comes The Sun),Acousticness,0.821
True Colors,Acousticness,0.284
Try Me,Acousticness,0.622
Twenty Eight,Acousticness,0.574
Valerie,Acousticness,0.346
Wasted Times,Acousticness,0.622
Adaptation,Danceability,0.642
Blinding Lights,Danceability,0.513
Call Out My Name,Danceability,0.449
Can't Feel My Face,Danceability,0.705
Can't Feel My Face - Martin Garrix Remix,Danceability,0.608
Dark Times,Danceability,0.501
Die For You,Danceability,0.586
Echoes Of Silence,Danceability,0.214
Gone,Danceability,0.494
Heartless,Danceability,0.531
Hurt You,Danceability,0.484
I Feel It Coming,Danceability,0.773
I Was Never There,Danceability,0.324
Losers,Danceability,0.666
Often,Danceability,0.569
Often - Kygo Remix,Danceability,0.523
Pray For Me (with Kendrick Lamar),Danceability,0.735
Prisoner,Danceability,0.55
Privilege,Danceability,0.391
Same Old Song,Danceability,0.771
Secrets,Danceability,0.665
Sidewalks,Danceability,0.542
Six Feet Under,Danceability,0.772
Starboy,Danceability,0.678
Starboy - Kygo Remix,Danceability,0.751
Tears In The Rain,Danceability,0.655
Tell Your Friends,Danceability,0.565
The Hills,Danceability,0.58
The Hills - RL Grime Remix,Danceability,0.571
The Morning,Danceability,0.652
The Party & The After Party,Danceability,0.438
The Zone,Danceability,0.619
Till Dawn (Here Comes The Sun),Danceability,0.697
True Colors,Danceability,0.624
Try Me,Danceability,0.466
Twenty Eight,Danceability,0.639
Valerie,Danceability,0.641
Wasted Times,Danceability,0.562
Adaptation,Duration (minutes),4.732216666666667
Blinding Lights,Duration (minutes),3.35955
Call Out My Name,Duration (minutes),3.806216666666667
Can't Feel My Face,Duration (minutes),3.558666666666667
Can't Feel My Face - Martin Garrix Remix,Duration (minutes),4.21555
Dark Times,Duration (minutes),4.344
Die For You,Duration (minutes),4.33755
Echoes Of Silence,Duration (minutes),4.001116666666666
Gone,Duration (minutes),8.112883333333333
Heartless,Duration (minutes),3.3346666666666667
Hurt You,Duration (minutes),3.8337833333333333
I Feel It Coming,Duration (minutes),4.48645
I Was Never There,Duration (minutes),4.017783333333333
Losers,Duration (minutes),4.685783333333333
Often,Duration (minutes),4.150666666666667
Often - Kygo Remix,Duration (minutes),3.9066666666666667
Pray For Me (with Kendrick Lamar),Duration (minutes),3.524
Prisoner,Duration (minutes),4.582666666666666
Privilege,Duration (minutes),2.8428833333333334
Same Old Song,Duration (minutes),5.2008833333333335
Secrets,Duration (minutes),4.426666666666667
Sidewalks,Duration (minutes),3.856
Six Feet Under,Duration (minutes),3.95955
Starboy,Duration (minutes),3.840883333333333
Starboy - Kygo Remix,Duration (minutes),4.078666666666667
Tears In The Rain,Duration (minutes),7.4108833333333335
Tell Your Friends,Duration (minutes),5.572216666666667
The Hills,Duration (minutes),4.03755
The Hills - RL Grime Remix,Duration (minutes),4.517783333333333
The Morning,Duration (minutes),5.207116666666667
The Party & The After Party,Duration (minutes),7.65645
The Zone,Duration (minutes),6.975116666666667
Till Dawn (Here Comes The Sun),Duration (minutes),5.328216666666667
True Colors,Duration (minutes),3.43355
Try Me,Duration (minutes),3.6851166666666666
Twenty Eight,Duration (minutes),4.30755
Valerie,Duration (minutes),4.778
Wasted Times,Duration (minutes),3.67155
Adaptation,Energy,0.79
Blinding Lights,Energy,0.796
Call Out My Name,Energy,0.599
Can't Feel My Face,Energy,0.769
Can't Feel My Face - Martin Garrix Remix,Energy,0.722
Dark Times,Energy,0.403
Die For You,Energy,0.525
Echoes Of Silence,Energy,0.156
Gone,Energy,0.697
Heartless,Energy,0.75
Hurt You,Energy,0.716
I Feel It Coming,Energy,0.819
I Was Never There,Energy,0.735
Losers,Energy,0.485
Often,Energy,0.629
Often - Kygo Remix,Energy,0.491
Pray For Me (with Kendrick Lamar),Energy,0.677
Prisoner,Energy,0.404
Privilege,Energy,0.595
Same Old Song,Energy,0.56
Secrets,Energy,0.771
Sidewalks,Energy,0.721
Six Feet Under,Energy,0.504
Starboy,Energy,0.588
Starboy - Kygo Remix,Energy,0.623
Tears In The Rain,Energy,0.636
Tell Your Friends,Energy,0.454
The Hills,Energy,0.565
The Hills - RL Grime Remix,Energy,0.897
The Morning,Energy,0.549
The Party & The After Party,Energy,0.634
The Zone,Energy,0.521
Till Dawn (Here Comes The Sun),Energy,0.542
True Colors,Energy,0.424
Try Me,Energy,0.672
Twenty Eight,Energy,0.633
Valerie,Energy,0.539
Wasted Times,Energy,0.674
Adaptation,Instrumentalness,0.000583
Blinding Lights,Instrumentalness,0.000209
Call Out My Name,Instrumentalness,0.0
Can't Feel My Face,Instrumentalness,0.0
Can't Feel My Face - Martin Garrix Remix,Instrumentalness,2.84e-05
Dark Times,Instrumentalness,1.1e-05
Die For You,Instrumentalness,0.0
Echoes Of Silence,Instrumentalness,0.00797
Gone,Instrumentalness,0.000405
Heartless,Instrumentalness,7.6e-05
Hurt You,Instrumentalness,0.00214
I Feel It Coming,Instrumentalness,0.0
I Was Never There,Instrumentalness,4.84e-05
Losers,Instrumentalness,0.000603
Often,Instrumentalness,0.0
Often - Kygo Remix,Instrumentalness,0.0
Pray For Me (with Kendrick Lamar),Instrumentalness,2.17e-05
Prisoner,Instrumentalness,0.00022
Privilege,Instrumentalness,0.00557
Same Old Song,Instrumentalness,4.86e-05
Secrets,Instrumentalness,9.6e-06
Sidewalks,Instrumentalness,0.0
Six Feet Under,Instrumentalness,0.0
Starboy,Instrumentalness,6.35e-06
Starboy - Kygo Remix,Instrumentalness,0.0
Tears In The Rain,Instrumentalness,0.237
Tell Your Friends,Instrumentalness,0.0
The Hills,Instrumentalness,0.0
The Hills - RL Grime Remix,Instrumentalness,0.246
The Morning,Instrumentalness,0.0
The Party & The After Party,Instrumentalness,0.0
The Zone,Instrumentalness,0.000542
Till Dawn (Here Comes The Sun),Instrumentalness,0.000452
True Colors,Instrumentalness,0.0
Try Me,Instrumentalness,0.00108
Twenty Eight,Instrumentalness,0.000218
Valerie,Instrumentalness,7.04e-06
Wasted Times,Instrumentalness,2.04e-05
Adaptation,Liveness,0.305
Blinding Lights,Liveness,0.0938
Call Out My Name,Liveness,0.327
Can't Feel My Face,Liveness,0.105
Can't Feel My Face - Martin Garrix Remix,Liveness,0.315
Dark Times,Liveness,0.124
Die For You,Liveness,0.134
Echoes Of Silence,Liveness,0.101
Gone,Liveness,0.0602
Heartless,Liveness,0.117
Hurt You,Liveness,0.112
I Feel It Coming,Liveness,0.0679
I Was Never There,Liveness,0.169
Losers,Liveness,0.504
Often,Liveness,0.135
Often - Kygo Remix,Liveness,0.331
Pray For Me (with Kendrick Lamar),Liveness,0.111
Prisoner,Liveness,0.11
Privilege,Liveness,0.145
Same Old Song,Liveness,0.536
Secrets,Liveness,0.46
Sidewalks,Liveness,0.348
Six Feet Under,Liveness,0.125
Starboy,Liveness,0.137
Starboy - Kygo Remix,Liveness,0.168
Tears In The Rain,Liveness,0.0842
Tell Your Friends,Liveness,0.181
The Hills,Liveness,0.135
The Hills - RL Grime Remix,Liveness,0.158
The Morning,Liveness,0.104
The Party & The After Party,Liveness,0.113
The Zone,Liveness,0.101
Till Dawn (Here Comes The Sun),Liveness,0.134
True Colors,Liveness,0.173
Try Me,Liveness,0.147
Twenty Eight,Liveness,0.111
Valerie,Liveness,0.0837
Wasted Times,Liveness,0.111
Adaptation,Popularity,44.0
Blinding Lights,Popularity,98.0
Call Out My Name,Popularity,24.0
Can't Feel My Face,Popularity,80.0
Can't Feel My Face - Martin Garrix Remix,Popularity,56.0
Dark Times,Popularity,69.0
Die For You,Popularity,76.0
Echoes Of Silence,Popularity,55.0
Gone,Popularity,54.0
Heartless,Popularity,93.0
Hurt You,Popularity,17.0
I Feel It Coming,Popularity,80.0
I Was Never There,Popularity,17.0
Losers,Popularity,62.0
Often,Popularity,76.0
Often - Kygo Remix,Popularity,65.0
Pray For Me (with Kendrick Lamar),Popularity,76.0
Prisoner,Popularity,64.0
Privilege,Popularity,16.0
Same Old Song,Popularity,55.0
Secrets,Popularity,71.0
Sidewalks,Popularity,70.0
Six Feet Under,Popularity,69.0
Starboy,Popularity,84.0
Starboy - Kygo Remix,Popularity,5.0
Tears In The Rain,Popularity,43.0
Tell Your Friends,Popularity,68.0
The Hills,Popularity,83.0
The Hills - RL Grime Remix,Popularity,51.0
The Morning,Popularity,70.0
The Party & The After Party,Popularity,60.0
The Zone,Popularity,61.0
Till Dawn (Here Comes The Sun),Popularity,53.0
True Colors,Popularity,69.0
Try Me,Popularity,19.0
Twenty Eight,Popularity,61.0
Valerie,Popularity,62.0
Wasted Times,Popularity,18.0
Adaptation,Speechiness,0.0681
Blinding Lights,Speechiness,0.0629
Call Out My Name,Speechiness,0.0369
Can't Feel My Face,Speechiness,0.0426
Can't Feel My Face - Martin Garrix Remix,Speechiness,0.107
Dark Times,Speechiness,0.0752
Die For You,Speechiness,0.0615
Echoes Of Silence,Speechiness,0.0443
Gone,Speechiness,0.309
Heartless,Speechiness,0.111
Hurt You,Speechiness,0.167
I Feel It Coming,Speechiness,0.118
I Was Never There,Speechiness,0.0337
Losers,Speechiness,0.0527
Often,Speechiness,0.0485
Often - Kygo Remix,Speechiness,0.0491
Pray For Me (with Kendrick Lamar),Speechiness,0.093
Prisoner,Speechiness,0.0398
Privilege,Speechiness,0.0411
Same Old Song,Speechiness,0.0692
Secrets,Speechiness,0.0533
Sidewalks,Speechiness,0.0625
Six Feet Under,Speechiness,0.0761
Starboy,Speechiness,0.276
Starboy - Kygo Remix,Speechiness,0.0939
Tears In The Rain,Speechiness,0.0453
Tell Your Friends,Speechiness,0.0461
The Hills,Speechiness,0.0488
The Hills - RL Grime Remix,Speechiness,0.0432
The Morning,Speechiness,0.039
The Party & The After Party,Speechiness,0.337
The Zone,Speechiness,0.0744
Till Dawn (Here Comes The Sun),Speechiness,0.0437
True Colors,Speechiness,0.24
Try Me,Speechiness,0.068
Twenty Eight,Speechiness,0.0352
Valerie,Speechiness,0.0463
Wasted Times,Speechiness,0.0851
Adaptation,Tempo,114.96
Blinding Lights,Tempo,171.017
Call Out My Name,Tempo,134.144
Can't Feel My Face,Tempo,107.939
Can't Feel My Face - Martin Garrix Remix,Tempo,128.009
Dark Times,Tempo,132.608
Die For You,Tempo,133.629
Echoes Of Silence,Tempo,75.654
Gone,Tempo,107.669
Heartless,Tempo,169.954
Hurt You,Tempo,184.131
I Feel It Coming,Tempo,92.99
I Was Never There,Tempo,113.923
Losers,Tempo,91.009
Often,Tempo,134.035
Often - Kygo Remix,Tempo,80.156
Pray For Me (with Kendrick Lamar),Tempo,100.584
Prisoner,Tempo,135.016
Privilege,Tempo,93.78
Same Old Song,Tempo,109.978
Secrets,Tempo,109.945
Sidewalks,Tempo,149.831
Six Feet Under,Tempo,140.035
Starboy,Tempo,186.005
Starboy - Kygo Remix,Tempo,93.01
Tears In The Rain,Tempo,160.01
Tell Your Friends,Tempo,74.809
The Hills,Tempo,112.986
The Hills - RL Grime Remix,Tempo,139.996
The Morning,Tempo,120.073
The Party & The After Party,Tempo,203.585
The Zone,Tempo,139.886
Till Dawn (Here Comes The Sun),Tempo,99.988
True Colors,Tempo,76.669
Try Me,Tempo,91.673
Twenty Eight,Tempo,129.996
Valerie,Tempo,148.004
Wasted Times,Tempo,122.699
Adaptation,Valence,0.613
Blinding Lights,Valence,0.345
Call Out My Name,Valence,0.165
Can't Feel My Face,Valence,0.59
Can't Feel My Face - Martin Garrix Remix,Valence,0.121
Dark Times,Valence,0.27
Die For You,Valence,0.508
Echoes Of Silence,Valence,0.132
Gone,Valence,0.344
Heartless,Valence,0.198
Hurt You,Valence,0.365
I Feel It Coming,Valence,0.585
I Was Never There,Valence,0.169
Losers,Valence,0.288
Often,Valence,0.0726
Often - Kygo Remix,Valence,0.408
Pray For Me (with Kendrick Lamar),Valence,0.188
Prisoner,Valence,0.329
Privilege,Valence,0.379
Same Old Song,Valence,0.389
Secrets,Valence,0.764
Sidewalks,Valence,0.623
Six Feet Under,Valence,0.244
Starboy,Valence,0.486
Starboy - Kygo Remix,Valence,0.383
Tears In The Rain,Valence,0.185
Tell Your Friends,Valence,0.312
The Hills,Valence,0.138
The Hills - RL Grime Remix,Valence,0.446
The Morning,Valence,0.186
The Party & The After Party,Valence,0.397
The Zone,Valence,0.254
Till Dawn (Here Comes The Sun),Valence,0.547
True Colors,Valence,0.584
Try Me,Valence,0.108
Twenty Eight,Valence,0.243
Valerie,Valence,0.436
Wasted Times,Valence,0.293
